coin,side,entry,sl,tp,risk_R,risk_cash,opened_at,core,status,entry_score,entry_diag,entry_metrics,score_breakdown,signal_key,btc_context,strategy_fingerprint,closed_at,exit,result,R,equity_after,telegram_status
RUNE/USDT:USDT,LONG,0.6468,0.6364362557958976,0.6597546802551282,1.0,1.0,2026-09-25T21:30:00+00:00,V15_PRECISION_V2_FINAL,OPEN,33.36369227338014,"{'timestamp': '2026-09-25T21:30:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.6387403678604551, 'volume_ratio': 1.5062792223221242, 'h4_adx_pct': 0.75, 'h4_adx_delta': -1.7020533077424531, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T21:30:00+00:00', 'close': 83774.0, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.6468, 'rsi': 56.28476697450399, 'h4_adx_pct': 0.75, 'h4_adx_delta': -1.7020533077424531, 'volr': 1.5062792223221242, 'vol_slope': 0.9182409978645166, 'dist_ema20_atr': 0.6387403678604551, 'room_atr': 1.5063267990260016, 'body_atr': 0.4879650194028065, 'close_pos': 0.9375000000000066, 'atr': 0.004713452621695963}","{'adx': 0.0, 'delta': 0.0, 'room': 0.4375511993506678, 'location': 0.9354327202325748, 'volume': 0.7531396111610621, 'trigger': 0.6099562742535081}",RUNE/USDT:USDT|LONG|2026-09-25T21:30:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T21:30:00+00:00', 'close': 83774.0, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T02:15:00+00:00,0.6597546802551282,TP,1.25,103.7970703125,SENT
ORDI/USDT:USDT,LONG,4.678,4.626927334118747,4.741840832351566,1.0,1.0,2026-09-25T22:00:00+00:00,V15_PRECISION_V2_FINAL,OPEN,35.41836473919407,"{'timestamp': '2026-09-25T22:00:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.016734589567762633, 'volume_ratio': 3.9442942425842453, 'h4_adx_pct': 0.465, 'h4_adx_delta': -2.7495774967886035, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 4.678, 'rsi': 51.23547040651467, 'h4_adx_pct': 0.465, 'h4_adx_delta': -2.7495774967886035, 'volr': 3.9442942425842453, 'vol_slope': 3.74740054475032, 'dist_ema20_atr': 0.016734589567762633, 'room_atr': 2.7144168812018927, 'body_atr': 0.863678098564225, 'close_pos': 0.971428571428562, 'atr': 0.03241948597115832}","{'adx': 0.0, 'delta': 0.0, 'room': 1.0, 'location': 0.027890982612937765, 'volume': 1.0, 'trigger': 1.0}",ORDI/USDT:USDT|LONG|2026-09-25T22:00:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-25T22:35:00+00:00,4.741840832351566,TP,1.25,101.25,SENT
ARB/USDT:USDT,LONG,0.22329,0.21870389253935937,0.22902263432580075,1.0,1.0,2026-09-25T22:00:00+00:00,V15_PRECISION_V2_FINAL,OPEN,33.295795344993124,"{'timestamp': '2026-09-25T22:00:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.10306818824207874, 'volume_ratio': 3.1725775496112103, 'h4_adx_pct': 0.38, 'h4_adx_delta': -0.7111301450953391, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.22329, 'rsi': 50.88794457832497, 'h4_adx_pct': 0.38, 'h4_adx_delta': -0.7111301450953391, 'volr': 3.1725775496112103, 'vol_slope': 2.9593516856505335, 'dist_ema20_atr': 0.10306818824207874, 'room_atr': 2.0289317979205865, 'body_atr': 1.103530356898984, 'close_pos': 0.8485576923076875, 'atr': 0.0023017037856009753}","{'adx': 0.0, 'delta': 0.0, 'room': 0.7859545319470577, 'location': 0.17178031373679792, 'volume': 1.0, 'trigger': 1.0}",ARB/USDT:USDT|LONG|2026-09-25T22:00:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-25T22:45:00+00:00,0.22902263432580075,TP,1.25,102.515625,SENT
IMX/USDT:USDT,LONG,0.1597,0.1568599623336088,0.163250047082989,1.0,1.0,2026-09-25T22:00:00+00:00,V15_PRECISION_V2_FINAL,OPEN,27.263658807257357,"{'timestamp': '2026-09-25T22:00:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.08837824347488858, 'volume_ratio': 2.0384194242522566, 'h4_adx_pct': 0.735, 'h4_adx_delta': 1.044855860308484, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.1597, 'rsi': 51.01422122189216, 'h4_adx_pct': 0.735, 'h4_adx_delta': 1.044855860308484, 'volr': 2.0384194242522566, 'vol_slope': 0.12028445368109031, 'dist_ema20_atr': 0.08837824347488858, 'room_atr': 1.3829233087975226, 'body_atr': 1.1063386470380296, 'close_pos': 0.8636363636363665, 'atr': 0.001446211794447979}","{'adx': 0.0, 'delta': 0.14742793015424205, 'room': 0.3552822058650151, 'location': 0.1472970724581476, 'volume': 1.0, 'trigger': 1.0}",IMX/USDT:USDT|LONG|2026-09-25T22:00:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-25T22:00:00+00:00', 'close': 83892.4, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T06:35:00+00:00,0.163250047082989,TP,1.25,105.34413320892334,SENT
TIA/USDT:USDT,LONG,0.4944,0.487123558698885,0.5034955516263937,1.0,1.02515625,2026-09-26T01:30:00+00:00,V15_PRECISION_V2_FINAL,OPEN,37.75325809720013,"{'timestamp': '2026-09-26T01:30:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.5375473181534722, 'volume_ratio': 2.7040302110606196, 'h4_adx_pct': 0.715, 'h4_adx_delta': -1.9562409120993678, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T01:30:00+00:00', 'close': 84006.6, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.4944, 'rsi': 55.115195894341376, 'h4_adx_pct': 0.715, 'h4_adx_delta': -1.9562409120993678, 'volr': 2.7040302110606196, 'vol_slope': 2.1225027862925554, 'dist_ema20_atr': 0.5375473181534722, 'room_atr': 1.5485931357522498, 'body_atr': 0.9186569449377822, 'close_pos': 0.7291666666666717, 'atr': 0.003809909694022993}","{'adx': 0.0, 'delta': 0.0, 'room': 0.46572875716816653, 'location': 0.8959121969224537, 'volume': 1.0, 'trigger': 1.0}",TIA/USDT:USDT|LONG|2026-09-26T01:30:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T01:30:00+00:00', 'close': 84006.6, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T03:10:00+00:00,0.487123558698885,SL,-1.0,102.759099609375,SENT
FIL/USDT:USDT,LONG,1.045,1.02711174380789,1.0673603202401374,1.0,1.02759099609375,2026-09-26T04:00:00+00:00,V15_PRECISION_V2_FINAL,OPEN,43.37930956531156,"{'timestamp': '2026-09-26T04:00:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.684824171204895, 'volume_ratio': 2.664194958616858, 'h4_adx_pct': 0.42, 'h4_adx_delta': 0.10800347833375668, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T04:00:00+00:00', 'close': 83945.0, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 1.045, 'rsi': 55.612224331183064, 'h4_adx_pct': 0.42, 'h4_adx_delta': 0.10800347833375668, 'volr': 2.664194958616858, 'vol_slope': 2.472361342831265, 'dist_ema20_atr': 0.684824171204895, 'room_atr': 2.0124935384075453, 'body_atr': 1.481418854661105, 'close_pos': 0.8188405797101331, 'atr': 0.007155302476843957}","{'adx': 0.0, 'delta': 0.0, 'room': 0.7749956922716968, 'location': 0.8586263813251749, 'volume': 1.0, 'trigger': 1.0}",FIL/USDT:USDT|LONG|2026-09-26T04:00:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T04:00:00+00:00', 'close': 83945.0, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T06:15:00+00:00,1.0673603202401374,TP,1.25,104.04358835449219,SENT
TAO/USDT:USDT,LONG,313.36,308.15048327057843,319.87189591177696,1.0,1.0534413320892333,2026-09-26T07:30:00+00:00,V15_PRECISION_V2_FINAL,OPEN,42.77592890149289,"{'timestamp': '2026-09-26T07:30:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.7218297788876726, 'volume_ratio': 1.2022542338846096, 'h4_adx_pct': 0.615, 'h4_adx_delta': 1.9448097017953785, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T07:30:00+00:00', 'close': 84001.7, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 313.36, 'rsi': 55.03422460560977, 'h4_adx_pct': 0.615, 'h4_adx_delta': 1.9448097017953785, 'volr': 1.2022542338846096, 'vol_slope': 0.1277344410157133, 'dist_ema20_atr': 0.7218297788876726, 'room_atr': 1.4396728889730903, 'body_atr': 0.8158146370847457, 'close_pos': 0.9153439153439316, 'atr': 2.083806691768629}","{'adx': 0.0, 'delta': 0.5974048508976892, 'room': 0.39311525931539354, 'location': 0.7969503685205456, 'volume': 0.6011271169423048, 'trigger': 1.0}",TAO/USDT:USDT|LONG|2026-09-26T07:30:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T07:30:00+00:00', 'close': 84001.7, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T10:55:00+00:00,319.87189591177696,TP,1.25,107.99419655996032,SENT
STRK/USDT:USDT,LONG,0.04091,0.04040383846121282,0.04154270192348398,1.0,1.0534413320892333,2026-09-26T09:45:00+00:00,V15_PRECISION_V2_FINAL,OPEN,29.3845064466362,"{'timestamp': '2026-09-26T09:45:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': False, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.05342660096036813, 'volume_ratio': 2.1725753225583277, 'h4_adx_pct': 0.41, 'h4_adx_delta': 0.45834805363699616, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T09:45:00+00:00', 'close': 83980.6, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.04091, 'rsi': 51.30815065746804, 'h4_adx_pct': 0.41, 'h4_adx_delta': 0.45834805363699616, 'volr': 2.1725753225583277, 'vol_slope': 1.8358400172376714, 'dist_ema20_atr': 0.05342660096036813, 'room_atr': 1.8286631066970245, 'body_atr': 0.8512742048417206, 'close_pos': 1.0, 'atr': 0.00031717159813411845}","{'adx': 0.0, 'delta': 0.0, 'room': 0.6524420711313497, 'location': 0.08904433493394681, 'volume': 1.0, 'trigger': 1.0}",STRK/USDT:USDT|LONG|2026-09-26T09:45:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T09:45:00+00:00', 'close': 83980.6, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T10:20:00+00:00,0.04154270192348398,TP,1.25,106.66093487403488,SENT
LINK/USDT:USDT,LONG,14.098,13.89597513271793,14.350531084102588,1.0,1.0666093487403487,2026-09-26T10:15:00+00:00,V15_PRECISION_V2_FINAL,OPEN,57.60207272058945,"{'timestamp': '2026-09-26T10:15:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': True, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': True, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.7435912944040234, 'volume_ratio': 1.4705244008310796, 'h4_adx_pct': 0.885, 'h4_adx_delta': 4.117020245451641, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T10:15:00+00:00', 'close': 84103.7, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 14.098, 'rsi': 57.12915688741597, 'h4_adx_pct': 0.885, 'h4_adx_delta': 4.117020245451641, 'volr': 1.4705244008310796, 'vol_slope': 0.8722660458806905, 'dist_ema20_atr': 0.7435912944040234, 'room_atr': 1.1384737091739694, 'body_atr': 0.35886671267440723, 'close_pos': 0.6122448979591911, 'atr': 0.0808099469128279}","{'adx': 0.42499999999999993, 'delta': 1.0, 'room': 0.19231580611597962, 'location': 0.7606811759932943, 'volume': 0.7352622004155398, 'trigger': 0.448583390843009}",LINK/USDT:USDT|LONG|2026-09-26T10:15:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T10:15:00+00:00', 'close': 84103.7, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,,,OPEN,,106.66093487403488,SENT
LDO/USDT:USDT,LONG,0.4928,0.4876404650192937,0.4992494187258829,1.0,1.0799419655996032,2026-09-26T12:00:00+00:00,V15_PRECISION_V2_FINAL,OPEN,55.852456305464926,"{'timestamp': '2026-09-26T12:00:00+00:00', 'long': {'trend': True, 'ema': True, 'vwap': True, 'di': True, 'rsi': True, 'room': True, 'no_chase': True, 'adx_context': True, 'early_reclaim': True}, 'short': {'trend': False, 'ema': False, 'vwap': False, 'di': False, 'rsi': False, 'room': False, 'no_chase': False, 'adx_context': False, 'early_reclaim': False}, 'final_long': True, 'final_short': False, 'failure_shield': {'core': 'V15_PRECISION_V2_FINAL', 'shield': 'V15_FAILURE_SHIELD_V1', 'side': 'LONG', 'pass': True, 'veto': False, 'reasons': [], 'dist_ema20_atr': 0.259383791221071, 'volume_ratio': 2.4871723926606077, 'h4_adx_pct': 0.84, 'h4_adx_delta': 5.105082055623512, 'enabled': False}, 'execution_parity': {'base_signal_mask': True, 'shield_applied': False, 'base_long': True, 'base_short': False, 'final_long': True, 'final_short': False}, 'btc_filter_mode': 'shadow', 'btc_filter_allowed': True, 'btc_context': {'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T12:00:00+00:00', 'close': 84095.1, 'reason': '1H+4H trend alignment'}, 'defensive_gate': {'pass': True, 'reason': 'disabled'}, 'precision_gate': {'enabled': True, 'pass': True, 'fresh_pullback': True, 'touch_age': 1, 'adx_ok': True, 'vol_ok': True, 'ema_ok': True, 'score_ok': True, 'score_max': 65.0}}","{'close': 0.4928, 'rsi': 53.29596896507967, 'h4_adx_pct': 0.84, 'h4_adx_delta': 5.105082055623512, 'volr': 2.4871723926606077, 'vol_slope': 0.8049985291633321, 'dist_ema20_atr': 0.259383791221071, 'room_atr': 1.5426768536020836, 'body_atr': 0.6611472229723259, 'close_pos': 0.9512195121951272, 'atr': 0.003630053816471179}","{'adx': 0.19999999999999968, 'delta': 1.0, 'room': 0.46178456906805576, 'location': 0.43230631870178504, 'volume': 1.0, 'trigger': 0.8264340287154073}",LDO/USDT:USDT|LONG|2026-09-26T12:00:00+00:00|V15_PRECISION_V2_FINAL,"{'enabled': True, 'mode': 'shadow', 'allowed_long': False, 'allowed_short': False, 'h1_bull': False, 'h4_bull': True, 'h1_bear': False, 'h4_bear': False, 'timestamp': '2026-09-26T12:00:00+00:00', 'close': 84095.1, 'reason': '1H+4H trend alignment'}",a391f765bccd3f3d,2026-09-26T12:40:00+00:00,0.4876404650192937,SL,-1.0,106.91425459436071,SENT
