trade_no,coin,side,signal_time,actual_result,R,touch_age,adx_pct,adx_delta,volr,ema_dist,entry_score,V15_BASELINE_kept,V15.1-A_FRESH_PULLBACK_kept,V15.1-B_FRESH_PLUS_ADX_DETERIORATION_kept,V15.1-C_FRESH_PLUS_VOL120_kept,V15.1-D_FRESH_PLUS_EMA080_kept,V15.1-E_COMBINATION_kept
1,AIN/USDT:USDT,LONG,2026-09-15T13:00:00+00:00,SL,-1.0,,1.0,8.256188188998387,0.8315174954270561,1.0581845703260622,,True,False,False,False,False,False
2,MMT/USDT:USDT,SHORT,2026-09-16T03:00:00+00:00,TP,1.25,1.0,0.885,2.7883488134404466,1.0019143003700397,1.0518495505211765,,True,True,True,False,False,False
3,VIRTUAL/USDT:USDT,SHORT,2026-09-16T17:45:00+00:00,SL,-1.0,1.0,0.91,4.746987964886934,0.9782308249583775,0.2575061821120049,,True,True,True,False,True,False
4,SYN/USDT:USDT,LONG,2026-09-16T20:15:00+00:00,SL,-1.0,1.0,0.99,8.504719118764768,0.3505095081504649,0.2566058987022877,,True,True,True,False,True,False
5,GRIFFAIN/USDT:USDT,LONG,2026-09-17T01:00:00+00:00,TP,1.25,1.0,0.37,2.3569309032402828,1.036125169151624,0.28135504330973005,,True,True,True,False,True,False
6,SYN/USDT:USDT,LONG,2026-09-17T09:00:00+00:00,TP,1.25,1.0,1.0,3.4639116173312843,5.04441510349616,0.4263234784641272,0.0,True,True,True,True,True,True
7,REZ/USDT:USDT,LONG,2026-09-17T16:00:00+00:00,SL,-1.0,1.0,0.555,0.1419804858876219,1.0269433710713018,0.11834615722810002,32.50510393651519,True,True,True,False,True,False
8,ARB/USDT:USDT,LONG,2026-09-17T20:15:00+00:00,TP,1.25,1.0,0.735,5.706742807439234,1.1002861709317793,0.677014064049745,63.3,True,True,True,False,True,False
9,ASTER/USDT:USDT,LONG,2026-09-17T20:30:00+00:00,TP,1.25,1.0,0.715,3.4914779934373392,1.0152849949469802,1.1975785260089191,29.384654478535644,True,True,True,False,False,False
10,UNI/USDT:USDT,LONG,2026-09-17T21:00:00+00:00,TP,1.25,1.0,0.205,5.757692753673535,2.310024184723349,0.9597306854074424,44.59165941259098,True,True,True,True,False,False
11,FLOCK/USDT:USDT,LONG,2026-09-17T22:30:00+00:00,TP,1.25,1.0,0.42,2.886949316049755,1.016020493095084,0.48972592205838295,62.323250516935005,True,True,True,False,True,False
12,SOMI/USDT:USDT,LONG,2026-09-17T23:00:00+00:00,TP,1.25,1.0,0.625,4.665063065561263,1.0001841664997997,0.8374808906769262,55.50150522460453,True,True,True,False,False,False
13,ZEC/USDT:USDT,LONG,2026-09-18T01:30:00+00:00,TP,1.25,1.0,0.6,7.2742927770033,1.7243974477637087,0.35896822872160294,56.930799215427605,True,True,True,True,True,True
14,DASH/USDT:USDT,LONG,2026-09-18T01:45:00+00:00,TP,1.25,1.0,0.445,5.027008967733735,1.689953096835688,0.3141515557283321,47.66585646013783,True,True,True,True,True,True
15,1000PEPE/USDT:USDT,LONG,2026-09-18T04:30:00+00:00,TP,1.25,1.0,0.585,4.463475701037762,2.2769356471080076,0.8146117482587316,51.24222109632326,True,True,True,True,False,False
