coin,data_source,candles,start,end,legacy_long_bars,legacy_short_bars,early_long_bars,early_short_bars,legacy_signal_bars,early_signal_bars,error
ADA,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,25,7,9,31,32,40,
AVAX,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,6,19,9,33,25,42,
BNB,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,14,6,13,13,20,26,
BTC,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,3,17,22,16,20,38,
CRV,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,35,10,23,20,45,43,
DOGE,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,15,16,17,46,31,63,
ETH,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,8,17,28,14,25,42,
FET,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,1,22,2,45,23,47,
LINK,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,20,4,21,11,24,32,
SOL,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,32,17,18,16,49,34,
SUI,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,3,13,9,32,16,41,
UNI,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,12,19,22,21,31,43,
XRP,archive,15011,2026-03-28 15:15:00+00:00,2026-08-31 23:45:00+00:00,13,24,8,36,37,44,
