trade_no,coin,side,R,btc_pre1h,btc_pre4h,btc_after1h,btc_after4h,btc_trade_return,btc_adverse,btc_favorable
1,AIN/USDT:USDT,LONG,-1.0,0.0007517388838889083,0.0006892677115790669,-0.007354489240534168,-0.009287008325297275,-0.014456854269606523,,
2,MMT/USDT:USDT,SHORT,1.25,0.003960398658092723,0.0007724287744217406,-0.0008482255753181622,-0.0010550134873134054,-0.0031386980527691177,,
3,VIRTUAL/USDT:USDT,SHORT,-1.0,-0.0006589050556107257,0.0008119502144925406,-0.00107423449230859,0.0033389797811362865,0.0012103306211004305,,
4,SYN/USDT:USDT,LONG,-1.0,0.008782151786092651,0.005518604998026699,-0.0018797584667891165,0.0025229719086374836,-0.004268836965082623,,
5,GRIFFAIN/USDT:USDT,LONG,1.25,-0.0002818023818199622,0.0025130812979172745,-0.0011734150047657543,0.002172456606588602,0.0008181128077919819,,
6,SYN/USDT:USDT,LONG,1.25,0.003568884978738529,0.0028284065160624206,-0.0038692844563303908,-0.0004539821277150802,-0.0012106190072402878,,
7,REZ/USDT:USDT,LONG,-1.0,0.005207712080240512,-0.0013881184354108678,0.0012674733987063647,-0.0011644585854371226,0.0012674733987063647,,
8,FLOCK/USDT:USDT,LONG,1.25,-0.001417200949681674,-0.002642891093039279,0.00028803200821148067,0.006830286303816324,0.0009177747170741046,,
9,ARB/USDT:USDT,LONG,1.25,0.0016447132072168191,-8.867907304288547e-05,-0.001945895751113147,-0.004298708039992438,-0.0015441960920360431,-0.004774748220392144,-0.0015259370166236241
10,UNI/USDT:USDT,LONG,1.25,-0.0015940218306575993,-0.0040190036621639,-0.001952231139982774,0.0006093367121444704,0.0029433839893509006,-0.0022032883261023928,0.003380118886038286
11,SOMI/USDT:USDT,LONG,1.25,0.001369103846199149,-0.0011604718206601472,-1.1775203514918786e-05,0.011212610457950856,0.012556292014580306,-0.0016184363053074469,0.01480273917400865
12,ASTER/USDT:USDT,LONG,1.25,-0.0009233405337352174,-0.0023851751388851428,-0.00013464210690061762,-0.0019490425377554077,0.010852415257172954,-0.002496761399807368,0.013909967568245696
13,ZEC/USDT:USDT,LONG,1.25,0.004048461034708684,0.0022264697576639403,0.003169878070574894,0.011660716079369582,0.00874260198723964,-0.001480580909507201,0.011793772689739246
14,DASH/USDT:USDT,LONG,1.25,0.001905799429958277,0.004305192024919968,0.003157687508881679,0.009842024361911283,0.010337450147780425,-0.0012711582663748056,0.012233105654763987
15,1000PEPE/USDT:USDT,LONG,1.25,0.0012742149348339282,0.013765553372625972,0.0019637989173266757,0.006924975129520394,0.004381080347799271,-0.002811333186909848,0.005304841022725881
