removed_coin,trades,wins,losses,wr_pct,net_R,pf,expectancy_R,max_dd_R
1INCH/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-7.5
AVAX/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-8.75
STRK/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-8.5
GRASS/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-7.5
ZEC/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-7.5
UNI/USDT:USDT,51,32,19,62.75,21.0,2.1053,0.4118,-7.5
ARB/USDT:USDT,50,32,18,64.0,22.0,2.2222,0.44,-7.5
FIL/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-8.5
FLOCK/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
ENA/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-8.75
MMT/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
ONDO/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
GRIFFAIN/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
LIGHTER/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
ASTER/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
0G/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
SOMI/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
PENDLE/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
ONE/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
MEW/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
YFI/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
XPL/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
DOT/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
DASH/USDT:USDT,52,33,19,63.46,22.25,2.1711,0.4279,-7.5
IMX/USDT:USDT,51,33,18,64.71,23.25,2.2917,0.4559,-6.5
1000PEPE/USDT:USDT,51,33,18,64.71,23.25,2.2917,0.4559,-7.5
SYN/USDT:USDT,51,33,18,64.71,23.25,2.2917,0.4559,-7.5
DRIFT/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
OP/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
DYM/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
BLUR/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
AAVE/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
VIRTUAL/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-7.5
TIA/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-7.5
POL/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.75
SUI/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
TAO/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.5
ZK/USDT:USDT,52,34,18,65.38,24.5,2.3611,0.4712,-6.75
REZ/USDT:USDT,51,34,17,66.67,25.5,2.5,0.5,-7.5
AIN/USDT:USDT,51,34,17,66.67,25.5,2.5,0.5,-7.5
