trade_no,coin,side,base_R,atr_m10,atr_p10,rr_115,rr_135,stopbuf_060,stopbuf_070,delay_1bar_strict,delay_1bar_execution
1,AIN/USDT:USDT,LONG,-1.0,NO_RESULT,NO_RESULT,NO_RESULT,NO_RESULT,NO_RESULT,NO_RESULT,EXPIRED,NO_RESULT
2,MMT/USDT:USDT,SHORT,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
3,VIRTUAL/USDT:USDT,SHORT,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
4,SYN/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
5,GRIFFAIN/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
6,SYN/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
7,REZ/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
8,FLOCK/USDT:USDT,LONG,1.25,TP,TP,TP,NO_RESULT,TP,TP,EXPIRED,NO_RESULT
9,ARB/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,SL
10,UNI/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
11,SOMI/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
12,ASTER/USDT:USDT,LONG,1.25,SL,TP,TP,TP,TP,TP,EXPIRED,TP
13,ZEC/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,NO_RESULT
14,DASH/USDT:USDT,LONG,1.25,TP,NO_RESULT,TP,NO_RESULT,TP,TP,EXPIRED,NO_RESULT
15,1000PEPE/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,NO_RESULT
16,ONDO/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
17,0G/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
18,STRK/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
19,REZ/USDT:USDT,LONG,-1.0,SL,NO_RESULT,SL,SL,SL,SL,EXPIRED,NO_RESULT
20,ONE/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
21,1000PEPE/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
22,TIA/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
23,UNI/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
24,PENDLE/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
25,ZEC/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,NO_RESULT
26,LIGHTER/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
27,AIN/USDT:USDT,SHORT,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
28,FIL/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
29,TAO/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
30,OP/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
31,AAVE/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,TP
32,DYM/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
33,ENA/USDT:USDT,LONG,1.25,TP,TP,TP,TP,TP,TP,EXPIRED,TP
34,IMX/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
35,SUI/USDT:USDT,LONG,-1.0,SL,SL,SL,SL,SL,SL,EXPIRED,SL
